RR,SpO2
0.680675186,97.17944927
0.6230909,97.17946417
0.605833254,97.1794513
0.592116057,97.17947026
0.594098218,97.17948638
0.60586192,97.17947766
0.666999398,97.17946427
0.637432762,97.17948424
0.644075857,97.17948961
0.633895941,97.17950238
0.643084086,97.179481
0.641689371,97.17945687
0.686727751,97.17942738
0.674765258,97.17939342
0.656584563,97.17939909
0.659907013,97.17939027
0.647107828,97.17938571
0.637011164,97.17936403
0.651801824,97.17941076
0.664200953,97.17941351
0.707809889,97.17944199
0.712394727,97.17947737
0.691920792,97.1794653
0.702796556,97.17947565
0.667974837,97.1794553
0.667741121,97.179462
0.708983067,97.17948551
0.707342044,97.17950911
0.685533614,97.17945591
0.648162032,97.17942783
0.657695437,97.17940807
0.646996104,97.17938335
0.674871662,97.17940647
0.689688095,97.17943505
0.709103009,97.17944061
0.702267527,97.1794247
0.734968646,97.17942977
0.746389198,97.1794223
0.745983849,97.17942179
0.729086047,97.17943779
0.73465914,97.17944284
0.746614,97.17943998
0.719540693,97.17940824
0.730197168,97.17938533
0.706841706,97.17938646
0.710507412,97.17941026
0.686925954,97.12486367
0.691368702,97.02429322
0.69583424,96.92375391
0.698526274,96.82318166
0.644906376,96.7225932
0.674095586,96.62199512
0.666283069,96.52144972
0.676094602,96.36635753
0.656160432,96.16539006
0.621210052,95.964408
0.598946445,95.81795155
0.713620039,95.71751842
0.697657016,95.61711358
0.71015628,95.5167127
0.687484903,95.36172984
0.680153416,95.16089778
0.694987615,94.96002174
0.712514379,94.813693
0.715951759,94.71322119
0.751989895,94.61278494
0.716563261,94.51231322
0.664821505,94.35722286
0.674060984,94.15632289
0.710234567,93.95543942
0.745554799,93.80912152
0.777667068,93.70867116
0.840918768,93.55353962
0.822164653,93.35260903
0.814779569,93.15165968
0.839774343,92.95066757
0.860349902,92.69499377
0.916532514,92.44817799
0.937898483,92.24715335
0.870496023,92.10088003
0.893060407,92.0003251
0.842916347,91.95456283
0.825127543,92.00919728
0.844831573,92.10960313
0.88453777,92.26483256
0.863298741,92.46579387
0.904032457,92.72148491
0.853131553,93.07770765
0.832982045,93.47954905
0.858167657,93.82664066
0.822216889,94.12804722
0.819739624,94.37465898
0.885762888,94.63039402
0.816283872,94.93173309
0.800014584,95.17827603
0.778818001,95.37910373
0.715906272,95.57993256
0.722367225,95.72600997
0.691565231,95.82643976
0.675445812,95.92689437
0.699728283,96.02731249
0.659036283,97.17894653
0.644266169,97.17893266
0.66375978,97.17892069
0.639475539,97.17892192
0.639200725,97.17893489
0.63789243,97.17891928
0.596592144,97.21778195
0.650021731,97.31812585
0.664908903,97.41843665
0.669107564,97.51882578
0.686398415,97.61913564
0.692468319,97.71951767
0.694371982,97.81986797
0.703764765,97.9202281
0.691729497,97.98165167
0.699442836,97.98167276
0.727577261,97.94283351
0.702406033,97.88145259
0.694773852,97.88148531
0.691581937,97.88142976
0.733608585,97.88145805
0.713461102,97.84244253
0.685672504,97.74211909
0.696177826,97.64178237
0.705498015,97.58036416
0.717101209,97.58034054
0.671640315,97.58035655
0.683625659,97.54145577
0.688520232,97.441145
0.685684122,97.3408389
0.706422728,97.27953683
0.712405063,97.31855376
0.750409452,97.41889189
0.790226883,97.51922557
0.754396593,97.61959586
0.733421512,97.71999905
0.72027528,97.82032351
0.7113145,97.92066682
0.728674369,98.02099148
0.71317356,98.12135221
0.702167557,98.1826934
0.672813331,98.18270305
0.610091319,98.18272888
0.643296827,98.14358051
0.657309534,98.0432529
0.667792129,97.94287646
0.657680886,97.84254328
0.669049792,97.74219147
0.655418565,97.64185432
0.662541356,97.54151254
0.67788267,97.44112495
0.714146208,97.30148244
0.758461769,97.10055057
0.713138918,96.93879218
0.684181729,96.83824852
0.698068726,96.73768903
0.695927144,96.63710057
0.71525552,96.53651879
0.71317184,96.43596539
0.709787288,96.29611096
0.669869344,96.09517024
0.612530624,95.9334685
0.611409978,95.83311038
0.654938826,95.69336653
0.704345522,95.4924928
0.79153626,95.29166368
0.83343408,95.09084499
0.900446767,94.85066103
0.889394263,94.54934384
0.876883106,94.28731105
0.894817024,94.12575761
0.923274966,94.0253454
0.949118938,93.92485057
0.922560536,93.86372294
0.888392437,93.90308832
0.90896188,94.0034914
0.801247364,94.10391589
0.751999447,94.28310629
0.800487517,94.58435265
0.779180797,94.88564663
0.778542676,95.14760148
0.790726181,95.38794506
0.769567281,95.68936297
0.75526202,95.99081441
0.752179112,96.25284708
0.743883166,96.45384373
0.76074311,96.65483379
0.755400795,96.81641289
0.705043836,96.9565012
0.675244342,97.15744149
0.61918848,97.35832267
0.592073989,97.51969306
0.591014397,97.62001884
0.566686654,97.72034311
0.569361481,97.82068804
0.566676349,97.92104759
0.571101996,98.02138847
0.600429948,98.12174555
0.598310647,98.1826405
0.568714219,98.18262358
0.634764034,98.18260371
0.794049493,95.6607339
0.781056505,95.76115172
0.827103531,95.86154805
0.801921177,95.9619523
0.793302224,96.06236749
0.795963885,96.16278805
0.781029086,96.17420345
0.791003537,96.17416584
0.826757469,96.17413918
0.708486777,96.17410971
0.716881824,96.1740704
0.688603145,96.17403675
0.733504342,96.17405784
0.720270952,96.17404404
0.727668033,96.1740328
0.721387235,96.17403552
0.708608743,96.17403105
0.701578309,96.17410068
0.714232741,96.17417141
0.737919743,96.17428168
0.832429328,96.17435891
0.795084379,96.17441223
0.793118387,96.1744262
0.755640312,96.17447385
0.735949515,96.17448904
0.735210958,96.17448987
0.782594539,96.1744917
0.756709993,96.17445349
0.743438162,96.17440758
0.780974797,96.17437039
0.734010784,96.17433177
0.724579418,96.17432285
0.748644505,96.17433128
0.759103234,96.17434729
0.77715291,96.17434851
0.784679104,96.1743555
0.74390235,96.08504142
0.751937741,95.98462575
0.726411229,95.88425717
0.65977769,95.7838436
0.665846581,95.68344018
0.674019479,95.58302317
0.657566086,95.48262277
0.653506123,95.38220119
0.666158828,95.28177343
0.649607715,95.09194407
0.676790897,94.98040703
0.711030923,94.87996167
0.713972697,94.77947648
0.710008103,94.67901988
0.720736756,94.48913862
0.724997548,94.2882578
0.693935634,94.08732417
0.724416698,93.88641356
0.7503639,93.68553649
0.806746394,93.57405331
0.902861452,93.38405233
0.99955061,93.18309751
1.004541773,92.98219511
0.957891365,92.78128255
