(AC/DC)_red,(AC/DC)_ir,SpO2
0.001652132,0.002427196,97.17944927
0.001442562,0.002315171,97.17946417
0.001357126,0.002240099,97.1794513
0.001302912,0.002200434,97.17947026
0.001286422,0.002165335,97.17948638
0.001186248,0.001957951,97.17947766
0.001259646,0.001888526,97.17946427
0.001174837,0.001843076,97.17948424
0.00119175,0.001850326,97.17948961
0.001145088,0.001806429,97.17950238
0.001148102,0.001785306,97.179481
0.00117052,0.001824122,97.17945687
0.001268977,0.00184786,97.17942738
0.001207457,0.001789447,97.17939342
0.001198771,0.001825768,97.17939909
0.001345702,0.00203923,97.17939027
0.001292578,0.00199747,97.17938571
0.001178493,0.001850034,97.17936403
0.001244408,0.001909181,97.17941076
0.001310849,0.001973573,97.17941351
0.001305454,0.001844357,97.17944199
0.001368285,0.001920684,97.17947737
0.001300059,0.001878913,97.1794653
0.001282087,0.001824265,97.17947565
0.001179951,0.001766461,97.1794553
0.001172242,0.001755534,97.179462
0.00130127,0.001835404,97.17948551
0.001383494,0.001955905,97.17950911
0.001273465,0.001857626,97.17945591
0.001242963,0.001917673,97.17942783
0.001243082,0.001890057,97.17940807
0.001189825,0.001838998,97.17938335
0.001281223,0.001898468,97.17940647
0.001347914,0.001954382,97.17943505
0.001376988,0.001941872,97.17944061
0.001284178,0.001828616,97.1794247
0.001322937,0.00179999,97.17942977
0.001356191,0.001817002,97.1794223
0.001341854,0.001798771,97.17942179
0.001288132,0.001766776,97.17943779
0.001294695,0.001762308,97.17944284
0.001284184,0.00172001,97.17943998
0.001195335,0.001661247,97.17940824
0.001197386,0.001639813,97.17938533
0.001130502,0.001599371,97.17938646
0.0011238,0.001581686,97.17941026
0.001052554,0.001532267,97.12486367
0.000945992,0.001368289,97.02429322
0.000954318,0.001371473,96.92375391
0.000931958,0.001334177,96.82318166
0.000790068,0.00122509,96.7225932
0.00090261,0.001338995,96.62199512
0.00090979,0.00136547,96.52144972
0.000928775,0.001373735,96.36635753
0.000897836,0.001368317,96.16539006
0.000837871,0.001348772,95.964408
0.000833562,0.001391715,95.81795155
0.000949122,0.00133001,95.71751842
0.000915014,0.001311552,95.61711358
0.000957413,0.001348172,95.5167127
0.000902149,0.001312246,95.36172984
0.000895092,0.001316015,95.16089778
0.001010802,0.001454417,94.96002174
0.001134445,0.001592172,94.813693
0.001083986,0.001514048,94.71322119
0.001186469,0.001577772,94.61278494
0.001184914,0.001653607,94.51231322
0.001105342,0.001662614,94.35722286
0.001125668,0.00166998,94.15632289
0.001188996,0.001674089,93.95543942
0.001145632,0.001536616,93.80912152
0.001209691,0.001555539,93.70867116
0.001338962,0.001592261,93.55353962
0.001196709,0.001455559,93.35260903
0.001218687,0.001495726,93.15165968
0.001281464,0.001525963,92.95066757
0.001303103,0.00151462,92.69499377
0.001411398,0.001539932,92.44817799
0.001453331,0.001549561,92.24715335
0.001328356,0.001525976,92.10088003
0.001393867,0.001560776,92.0003251
0.001167446,0.001385008,91.95456283
0.001206208,0.001461844,92.00919728
0.0013068,0.001546818,92.10960313
0.001369922,0.001548744,92.26483256
0.001389487,0.001609508,92.46579387
0.001415081,0.001565299,92.72148491
0.001417469,0.00166149,93.07770765
0.001436228,0.0017242,93.47954905
0.001663335,0.00193824,93.82664066
0.0016487,0.002005189,94.12804722
0.001671466,0.00203902,94.37465898
0.001699095,0.001918228,94.63039402
0.001482736,0.001816446,94.93173309
0.001484154,0.001855159,95.17827603
0.001464221,0.001880055,95.37910373
0.001527988,0.00213434,95.57993256
0.001591113,0.002202638,95.72600997
0.001481792,0.002142664,95.82643976
0.00150438,0.00222724,95.92689437
0.001661787,0.002374903,96.02731249
0.001385071,0.002101661,97.17894653
0.001401202,0.002174881,97.17893266
0.001487458,0.002240959,97.17892069
0.001507194,0.002356921,97.17892192
0.001536835,0.002404307,97.17893489
0.001525278,0.002391121,97.17891928
0.001371551,0.002298976,97.21778195
0.00141531,0.002177328,97.31812585
0.001399722,0.002105133,97.41843665
0.001358431,0.002030213,97.51882578
0.001491548,0.002173006,97.61913564
0.001492786,0.002155746,97.71951767
0.001478674,0.002129513,97.81986797
0.001434984,0.00203901,97.9202281
0.001446804,0.002091574,97.98165167
0.00152767,0.002184124,97.98167276
0.001662961,0.002285614,97.94283351
0.00185872,0.002646219,97.88145259
0.001784088,0.002567869,97.88148531
0.001809172,0.00261599,97.88142976
0.001793132,0.002444262,97.88145805
0.001670061,0.002340788,97.84244253
0.001529479,0.002230625,97.74211909
0.001476275,0.002120543,97.64178237
0.001492477,0.002115494,97.58036416
0.001530413,0.002134166,97.58034054
0.001394736,0.002076612,97.58035655
0.001343727,0.001965589,97.54145577
0.001326148,0.001926085,97.441145
0.001420992,0.00207237,97.3408389
0.001393809,0.001973052,97.27953683
0.001411444,0.001981238,97.31855376
0.001542696,0.002055806,97.41889189
0.001693647,0.002143242,97.51922557
0.001577559,0.002091154,97.61959586
0.001503279,0.00204968,97.71999905
0.001506407,0.002091432,97.82032351
0.001446315,0.002033299,97.92066682
0.001451266,0.001991653,98.02099148
0.001346839,0.001888515,98.12135221
0.001346927,0.001918241,98.1826934
0.001271623,0.001890009,98.18270305
0.00119466,0.001958166,98.18272888
0.001206728,0.001875849,98.14358051
0.001187064,0.001805943,98.0432529
0.00114455,0.001713932,97.94287646
0.001212687,0.001843883,97.84254328
0.001276106,0.001907341,97.74219147
0.001311893,0.002001611,97.64185432
0.001395331,0.002106029,97.54151254
0.00133186,0.001964736,97.44112495
0.001296996,0.001816149,97.30148244
0.001355503,0.001787173,97.10055057
0.001324181,0.001856834,96.93879218
0.001269777,0.001855906,96.83824852
0.001189486,0.001703967,96.73768903
0.001204127,0.001730248,96.63710057
0.001244107,0.001739388,96.53651879
0.001136431,0.001593489,96.43596539
0.001052931,0.001483446,96.29611096
0.001077846,0.00160904,96.09517024
0.00098304,0.001604882,95.9334685
0.000958715,0.001568039,95.83311038
0.001060205,0.001618785,95.69336653
0.001061406,0.00150694,95.4924928
0.001217946,0.001538711,95.29166368
0.001284124,0.001540763,95.09084499
0.001311228,0.001456197,94.85066103
0.001384748,0.001556957,94.54934384
0.001512892,0.001725307,94.28731105
0.001603696,0.001792205,94.12575761
0.001690255,0.001830717,94.0253454
0.00166906,0.001758536,93.92485057
0.001771266,0.001919946,93.86372294
0.001855007,0.002088049,93.90308832
0.001865993,0.002052884,94.0034914
0.001735402,0.002165875,94.10391589
0.001670709,0.002221689,94.28310629
0.001788107,0.002233772,94.58435265
0.001680493,0.002156743,94.88564663
0.001718634,0.002207502,95.14760148
0.001752538,0.002216365,95.38794506
0.001694233,0.00220154,95.68936297
0.001641105,0.002172895,95.99081441
0.001630853,0.002168171,96.25284708
0.001598938,0.002149448,96.45384373
0.00163079,0.00214368,96.65483379
0.001593845,0.002109933,96.81641289
0.001468386,0.002082687,96.9565012
0.001366612,0.002023878,97.15744149
0.001182635,0.001909975,97.35832267
0.001164987,0.001967637,97.51969306
0.001158751,0.001960614,97.62001884
0.001050248,0.001853313,97.72034311
0.001041582,0.001829387,97.82068804
0.001078576,0.001903337,97.92104759
0.001128636,0.001976242,98.02138847
0.001224608,0.002039552,98.12174555
0.001226282,0.002049574,98.1826405
0.001198949,0.002108175,98.18262358
0.001258143,0.001982064,98.18260371
0.001610862,0.002028668,95.6607339
0.001476476,0.001890358,95.76115172
0.001643091,0.00198656,95.86154805
0.001560091,0.001945442,95.9619523
0.001561835,0.001968777,96.06236749
0.001574482,0.001978082,96.16278805
0.001483224,0.001899064,96.17420345
0.001464282,0.00185117,96.17416584
0.00155161,0.001876741,96.17413918
0.001447851,0.002043582,96.17410971
0.001435478,0.002002391,96.1740704
0.001439911,0.00209106,96.17403675
0.001520529,0.002072966,96.17405784
0.001507581,0.002093075,96.17404404
0.001394826,0.001916844,96.1740328
0.001386614,0.00192215,96.17403552
0.001349186,0.001903993,96.17403105
0.001346927,0.001919852,96.17410068
0.001378761,0.001930408,96.17417141
0.001446235,0.001959881,96.17428168
0.001621231,0.00194759,96.17435891
0.00147075,0.001849804,96.17441223
0.001409221,0.00177681,96.1744262
0.001360422,0.001800356,96.17447385
0.001386801,0.001884369,96.17448904
0.001408983,0.001916434,96.17448987
0.001489626,0.001903445,96.1744917
0.001335951,0.001765473,96.17445349
0.001178386,0.001585049,96.17440758
0.001220688,0.001563032,96.17437039
0.001127628,0.001536256,96.17433177
0.001135046,0.001566489,96.17432285
0.001068587,0.001427362,96.17433128
0.001021706,0.001345939,96.17434729
0.001052212,0.001353932,96.17434851
0.001158175,0.001475986,96.1743555
0.001048927,0.001410033,96.08504142
0.001114447,0.0014821,95.98462575
0.001161554,0.001599031,95.88425717
0.001052736,0.001595592,95.7838436
0.001095648,0.001645496,95.68344018
