DC_red,AC_red,DC_ir,AC_ir,SpO2
120.2169635,0.122530564,0.241947894,164.4891968,92.30518982
119.8584834,0.137725382,0.238239766,164.4096425,91.07365307
120.1874886,0.198672334,0.273832178,164.5817942,89.84593216
120.4096792,0.213020629,0.278375969,164.3473173,90.87995328
120.4984713,0.19984919,0.272248036,163.8078339,93.76692693
120.6590083,0.181220066,0.284515375,163.4086637,95.32224527
120.8303499,0.172545442,0.298893863,163.2063371,95.79838974
120.6992613,0.163081208,0.298232739,162.9864226,96.17401444
120.5520603,0.152840685,0.288206795,162.9247127,96.17415684
120.8198395,0.187691779,0.322100989,163.1065043,96.17413949
120.9172376,0.165247752,0.30551501,163.3083759,96.1741266
