DC_red,AC_red,DC_ir,AC_ir,SpO2
107.0599961,0.176877287,139.4787539,0.338542334,97.17944927
107.0558862,0.154434744,139.4314111,0.322807544,97.17946417
107.0279351,0.145250416,139.3637791,0.312188603,97.1794513
106.9893669,0.139397739,139.2904594,0.306499412,97.17947026
106.9607139,0.137596599,139.2314342,0.30148274,97.17948638
106.9743569,0.126898097,139.2660304,0.27267603,97.17947766
106.9468971,0.134715209,139.2375441,0.26295374,97.17946427
106.9128743,0.125605201,139.1821878,0.256523345,97.17948424
106.8779014,0.127371763,139.1218431,0.257420746,97.17948961
106.8519966,0.122354971,139.0688955,0.251218149,97.17950238
106.805332,0.122623404,139.0007465,0.24815887,97.179481
106.7466808,0.124949116,138.8656489,0.253307932,97.17945687
106.708732,0.135410916,138.8002577,0.256483477,97.17942738
106.6791255,0.128810415,138.7376521,0.248263663,97.17939342
106.654927,0.127854837,138.6857372,0.25320797,97.17939909
106.63018,0.143492472,138.6449303,0.282728915,97.17939027
106.6212496,0.137816321,138.6332336,0.276915702,97.17938571
106.6102303,0.125639369,138.619507,0.256450866,97.17936403
106.591683,0.132643527,138.5970769,0.264606947,97.17941076
106.5692298,0.13969618,138.5645826,0.273467328,97.17941351
106.5523733,0.139099254,138.5252907,0.255490123,97.17944199
106.5116883,0.14573833,138.4620916,0.265941865,97.17947737
106.4873807,0.13843989,138.4259136,0.260090278,97.1794653
106.447011,0.136474353,138.3789878,0.252439958,97.17947565
106.4075646,0.125555759,138.3191565,0.244335382,97.1794553
106.3743538,0.124696533,138.2685815,0.242735239,97.179462
106.3497922,0.138389806,138.2325061,0.253712446,97.17948551
106.3417832,0.147123187,138.2200161,0.270345193,97.17950911
106.3198704,0.135394635,138.1937241,0.256712244,97.17945591
106.3180876,0.132149441,138.2054349,0.265032851,97.17942783
106.3084454,0.132150071,138.2070621,0.261219167,97.17940807
106.3014469,0.126480101,138.2147008,0.25417662,97.17938335
106.2971954,0.136190359,138.2289679,0.262423324,97.17940647
106.3015311,0.143285328,138.2583512,0.270209645,97.17943505
106.3172203,0.146397485,138.326577,0.268612552,97.17944061
106.2855401,0.136489541,138.283982,0.252868353,97.1794247
106.2614877,0.140577205,138.2459537,0.248841396,97.17942977
106.2324823,0.14407152,138.1958062,0.25110209,97.1794223
106.2104617,0.142518927,138.1539343,0.24850726,97.17942179
106.2048468,0.136805832,138.1348779,0.244053385,97.17943779
106.1992514,0.137495682,138.1184157,0.243407135,97.17944284
106.1994098,0.136379557,138.1096447,0.237550009,97.17943998
106.1864325,0.126928317,138.0959178,0.229411387,97.17940824
106.1535997,0.127106883,138.0447756,0.226367552,97.17938533
106.1395221,0.119990964,138.0334636,0.220766734,97.17938646
106.141255,0.119281508,138.0775443,0.218395328,97.17941026
106.1361712,0.111714031,138.0854177,0.211583697,97.12486367
106.125001,0.100393439,138.1396767,0.189015032,97.02429322
106.1067068,0.101259518,138.1539679,0.18947442,96.92375391
106.0636531,0.098846826,138.1559505,0.184324471,96.82318166
106.0154691,0.083759474,138.1395576,0.169233405,96.7225932
105.9735536,0.095652833,138.1268155,0.184951072,96.62199512
105.9061005,0.096352268,138.0854332,0.188551528,96.52144972
105.8627477,0.098322659,138.0599565,0.189657803,96.36635753
105.8154326,0.095004883,137.9873606,0.188810518,96.16539006
105.7822445,0.088631875,137.9500123,0.186063175,95.964408
105.7148997,0.088119975,137.8727229,0.191879475,95.81795155
105.6610334,0.100285206,137.8328073,0.183319043,95.71751842
105.6039018,0.096629018,137.7892929,0.180717872,95.61711358
105.5524306,0.101057222,137.755446,0.185717985,95.5167127
105.4822138,0.09516072,137.7092807,0.180708477,95.36172984
105.4475197,0.094385245,137.7036528,0.18122008,95.16089778
105.4149073,0.10655359,137.7102067,0.200288087,94.96002174
105.3775864,0.119545091,137.7578898,0.219334196,94.813693
105.3424661,0.114189713,137.7813917,0.208607687,94.71322119
105.2820303,0.124913855,137.8190005,0.217447015,94.61278494
105.2167413,0.124672764,137.805162,0.227875529,94.51231322
105.1166171,0.116189782,137.7404691,0.229009268,94.35722286
105.039397,0.118239513,137.6878135,0.229935869,94.15632289
104.9663651,0.124804566,137.6288748,0.230402969,93.95543942
104.8499735,0.120119459,137.4879351,0.21126622,93.80912152
104.7771877,0.126748055,137.4114073,0.21374878,93.70867116
104.7077367,0.140199725,137.2917989,0.21860442,93.55353962
104.6391718,0.125222658,137.2020906,0.199705741,93.35260903
104.5883831,0.127460535,137.104736,0.205071173,93.15165968
104.5677651,0.133999877,136.9852402,0.209034393,92.95066757
104.559547,0.136251865,136.9063854,0.207361131,92.69499377
104.5492835,0.147560638,136.7947789,0.210654678,92.44817799
104.6104832,0.152033666,136.76155,0.211920387,92.24715335
104.6694418,0.139038271,136.7124368,0.208619876,92.10088003
104.7244625,0.145972016,136.6518433,0.213282943,92.0003251
104.8150182,0.122365884,136.5764535,0.189159515,91.95456283
104.9270966,0.126563852,136.4904804,0.199527751,92.00919728
104.9881994,0.137198608,136.4236431,0.21102248,92.10960313
105.0970101,0.143974757,136.3358539,0.211149324,92.26483256
105.1631722,0.146122809,136.2625198,0.21931566,92.46579387
105.2426133,0.148926812,136.1552093,0.213123583,92.72148491
105.2513394,0.149190523,136.0421673,0.226032633,93.07770765
105.2704615,0.151192361,135.930093,0.234370689,93.47954905
105.3134791,0.175171621,135.7768253,0.26316813,93.82664066
105.3141585,0.173631503,135.6023262,0.271908328,94.12804722
105.3145197,0.176029593,135.4246362,0.276133554,94.37465898
105.3053438,0.178923769,135.2330794,0.259407833,94.63039402
105.2939355,0.156123078,135.1022986,0.245406052,94.93173309
105.284689,0.156258685,134.9271143,0.250311196,95.17827603
105.2487482,0.154107382,134.7819717,0.253397501,95.37910373
105.2469629,0.160816069,134.6222969,0.287329818,95.57993256
105.2460848,0.167458452,134.5304262,0.296321804,95.72600997
105.2350284,0.155936433,134.3879659,0.287948289,95.82643976
105.2263626,0.158300463,134.2754309,0.299063677,95.92689437
105.22128,0.174855324,134.208721,0.318732676,96.02731249
92.45408589,0.128055475,122.7787176,0.258039274,97.17894653
92.42028721,0.129499521,122.7384717,0.266941585,97.17893266
92.41183581,0.137458761,122.6811083,0.274923323,97.17892069
92.41209458,0.13928292,122.6257044,0.289019155,97.17892192
92.40861417,0.142016747,122.6008541,0.294770039,97.17893489
92.40546599,0.140943994,122.5906544,0.293129028,97.17891928
92.38349018,0.126708681,122.5706142,0.281786924,97.21778195
92.3718393,0.130734821,122.5018621,0.266726704,97.31812585
92.27475807,0.129158971,122.4070888,0.257683186,97.41843665
92.12566037,0.125146343,122.3100789,0.248315516,97.51882578
92.05911157,0.137310557,122.165857,0.26546711,97.61913564
92.00437057,0.137342834,122.0987601,0.263213943,97.71951767
91.91655691,0.135914644,121.9960778,0.259792246,97.81986797
91.84664093,0.131798423,121.8876641,0.2485302,97.9202281
91.81541086,0.132838868,121.7839783,0.254720234,97.98165167
91.68144611,0.140058952,121.633682,0.265662983,97.98167276
91.61338068,0.152349466,121.5386129,0.27779037,97.94283351
91.608307,0.17027419,121.4914867,0.321493042,97.88145259
91.61146321,0.163442919,121.4843584,0.311955889,97.88148531
