DC_red,AC_red,DC_ir,AC_ir,(AC/DC)_red,(AC/DC)_ir,RR,SpO2
105.6610334,0.100285206,137.8328073,0.183319043,0.000949122,0.00133001,0.713620039,95.71751842
105.6039018,0.096629018,137.7892929,0.180717872,0.000915014,0.001311552,0.697657016,95.61711358
105.5524306,0.101057222,137.755446,0.185717985,0.000957413,0.001348172,0.71015628,95.5167127
105.4822138,0.09516072,137.7092807,0.180708477,0.000902149,0.001312246,0.687484903,95.36172984
105.4475197,0.094385245,137.7036528,0.18122008,0.000895092,0.001316015,0.680153416,95.16089778
105.4149073,0.10655359,137.7102067,0.200288087,0.001010802,0.001454417,0.694987615,94.96002174
105.3775864,0.119545091,137.7578898,0.219334196,0.001134445,0.001592172,0.712514379,94.813693
105.3424661,0.114189713,137.7813917,0.208607687,0.001083986,0.001514048,0.715951759,94.71322119
105.2820303,0.124913855,137.8190005,0.217447015,0.001186469,0.001577772,0.751989895,94.61278494
105.2167413,0.124672764,137.805162,0.227875529,0.001184914,0.001653607,0.716563261,94.51231322
105.1166171,0.116189782,137.7404691,0.229009268,0.001105342,0.001662614,0.664821505,94.35722286
105.039397,0.118239513,137.6878135,0.229935869,0.001125668,0.00166998,0.674060984,94.15632289
104.9663651,0.124804566,137.6288748,0.230402969,0.001188996,0.001674089,0.710234567,93.95543942
104.8499735,0.120119459,137.4879351,0.21126622,0.001145632,0.001536616,0.745554799,93.80912152
104.7771877,0.126748055,137.4114073,0.21374878,0.001209691,0.001555539,0.777667068,93.70867116
104.7077367,0.140199725,137.2917989,0.21860442,0.001338962,0.001592261,0.840918768,93.55353962
104.6391718,0.125222658,137.2020906,0.199705741,0.001196709,0.001455559,0.822164653,93.35260903
104.5883831,0.127460535,137.104736,0.205071173,0.001218687,0.001495726,0.814779569,93.15165968
104.5677651,0.133999877,136.9852402,0.209034393,0.001281464,0.001525963,0.839774343,92.95066757
104.559547,0.136251865,136.9063854,0.207361131,0.001303103,0.00151462,0.860349902,92.69499377
104.5492835,0.147560638,136.7947789,0.210654678,0.001411398,0.001539932,0.916532514,92.44817799
104.6104832,0.152033666,136.76155,0.211920387,0.001453331,0.001549561,0.937898483,92.24715335
104.6694418,0.139038271,136.7124368,0.208619876,0.001328356,0.001525976,0.870496023,92.10088003
104.7244625,0.145972016,136.6518433,0.213282943,0.001393867,0.001560776,0.893060407,92.0003251
104.8150182,0.122365884,136.5764535,0.189159515,0.001167446,0.001385008,0.842916347,91.95456283
104.9270966,0.126563852,136.4904804,0.199527751,0.001206208,0.001461844,0.825127543,92.00919728
104.9881994,0.137198608,136.4236431,0.21102248,0.0013068,0.001546818,0.844831573,92.10960313
105.0970101,0.143974757,136.3358539,0.211149324,0.001369922,0.001548744,0.88453777,92.26483256
105.1631722,0.146122809,136.2625198,0.21931566,0.001389487,0.001609508,0.863298741,92.46579387
105.2426133,0.148926812,136.1552093,0.213123583,0.001415081,0.001565299,0.904032457,92.72148491
105.2513394,0.149190523,136.0421673,0.226032633,0.001417469,0.00166149,0.853131553,93.07770765
105.2704615,0.151192361,135.930093,0.234370689,0.001436228,0.0017242,0.832982045,93.47954905
105.3134791,0.175171621,135.7768253,0.26316813,0.001663335,0.00193824,0.858167657,93.82664066
105.3141585,0.173631503,135.6023262,0.271908328,0.0016487,0.002005189,0.822216889,94.12804722
105.3145197,0.176029593,135.4246362,0.276133554,0.001671466,0.00203902,0.819739624,94.37465898
105.3053438,0.178923769,135.2330794,0.259407833,0.001699095,0.001918228,0.885762888,94.63039402
105.2939355,0.156123078,135.1022986,0.245406052,0.001482736,0.001816446,0.816283872,94.93173309
105.284689,0.156258685,134.9271143,0.250311196,0.001484154,0.001855159,0.800014584,95.17827603
105.2487482,0.154107382,134.7819717,0.253397501,0.001464221,0.001880055,0.778818001,95.37910373
105.2469629,0.160816069,134.6222969,0.287329818,0.001527988,0.00213434,0.715906272,95.57993256
105.2460848,0.167458452,134.5304262,0.296321804,0.001591113,0.002202638,0.722367225,95.72600997
105.2350284,0.155936433,134.3879659,0.287948289,0.001481792,0.002142664,0.691565231,95.82643976
105.2263626,0.158300463,134.2754309,0.299063677,0.00150438,0.00222724,0.675445812,95.92689437
105.22128,0.174855324,134.208721,0.318732676,0.001661787,0.002374903,0.699728283,96.02731249
92.45408589,0.128055475,122.7787176,0.258039274,0.001385071,0.002101661,0.659036283,97.17894653
92.42028721,0.129499521,122.7384717,0.266941585,0.001401202,0.002174881,0.644266169,97.17893266
92.41183581,0.137458761,122.6811083,0.274923323,0.001487458,0.002240959,0.66375978,97.17892069
92.41209458,0.13928292,122.6257044,0.289019155,0.001507194,0.002356921,0.639475539,97.17892192
92.40861417,0.142016747,122.6008541,0.294770039,0.001536835,0.002404307,0.639200725,97.17893489
92.40546599,0.140943994,122.5906544,0.293129028,0.001525278,0.002391121,0.63789243,97.17891928
92.38349018,0.126708681,122.5706142,0.281786924,0.001371551,0.002298976,0.596592144,97.21778195
92.3718393,0.130734821,122.5018621,0.266726704,0.00141531,0.002177328,0.650021731,97.31812585
92.27475807,0.129158971,122.4070888,0.257683186,0.001399722,0.002105133,0.664908903,97.41843665
92.12566037,0.125146343,122.3100789,0.248315516,0.001358431,0.002030213,0.669107564,97.51882578
92.05911157,0.137310557,122.165857,0.26546711,0.001491548,0.002173006,0.686398415,97.61913564
92.00437057,0.137342834,122.0987601,0.263213943,0.001492786,0.002155746,0.692468319,97.71951767
91.91655691,0.135914644,121.9960778,0.259792246,0.001478674,0.002129513,0.694371982,97.81986797
91.84664093,0.131798423,121.8876641,0.2485302,0.001434984,0.00203901,0.703764765,97.9202281
91.81541086,0.132838868,121.7839783,0.254720234,0.001446804,0.002091574,0.691729497,97.98165167
91.68144611,0.140058952,121.633682,0.265662983,0.00152767,0.002184124,0.699442836,97.98167276
